DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,TotalWages,DefinedBenefitPlanContribution,HealthDentalVision,TotalRetirementAndHealthContribution
Public Works,Supervising Trans Planner,99919,121452,135307,8904,0,8904
Public Works,Traffic Signal Technician II,64288,78143,97158,6100,15036,21136
Public Works,Traffic Technician II,59863,72763,70611,5348,13077,18425
Public Works,Traffic Technician II,59863,72763,75360,5682,12189,17871
Public Works,Transportation Planning Pkg Manager,124553,151395,157896,11645,16851,28496
Public Works,Treatment Plant Technician,66043,80276,89596,9556,0,9556
Public Works,Treatment Plant Technician,66043,80276,65378,6968,11029,17997
Public Works,Treatment Plant Technician,66043,80276,72271,5311,12189,17500
Public Works,Treatment Plant Technician Sup,105684,128460,149059,9930,14833,24763
Public Works,Utility Worker I,40331,40331,3736,0,0,45
Public Works,Utility Worker I,40331,40331,31427,0,0,406
Public Works,Utility Worker I,40331,40331,10897,0,0,142
Public Works,Vehicle Services Assistant,44602,54214,57422,6514,11823,18337
Public Works,Water Conservation Supervisor,95057,115543,130316,8687,1234,9921
Public Works,Water Distribution Chief Opr,91899,111704,136160,7960,14533,22493
Public Works,Water Distribution Lead Op Tch,76321,92768,114586,6858,12867,19725
Public Works,Water Distribution Lead Op Tch,76321,92768,90215,6616,14912,21528
Public Works,Water Distribution Op Tech I,62829,76369,84822,7309,14941,22250
Public Works,Water Distribution Op Tech I,62829,76369,68686,6210,87,6297
Public Works,Water Distribution Op Tech I,62829,76369,80284,5630,1066,6696
Public Works,Water Distribution Op Tech I,62829,76369,97037,5628,12489,18117
Public Works,Water Distribution Op Tech I,62829,76369,102875,5648,13105,18753
Public Works,Water Distribution Op Tech I,62829,76369,74903,6208,0,6208
Public Works,Water Distribution Op Tech II,69075,83961,85858,7450,11946,19396
Public Works,Water Distribution Op Tech II,69075,83961,121325,6500,14941,21441
Public Works,Water Distribution Op Tech II,69075,83961,102447,6187,14941,21128
Public Works,Water Distribution Op Tech II,69075,83961,187878,6703,12484,19187
Public Works,Water Distribution Op Tech II,69075,83961,107730,6514,14941,21455
Public Works,Water Distribution Op Tech II,69075,83961,121644,6512,12428,18940
Public Works,Water Distribution Op Tech Oit,55528,67494,57869,6089,8804,14893
Public Works,Water Distribution Op Tech Oit,55528,67494,63189,3902,9394,13296
Public Works,Water Distribution Op Tech Oit,55528,67494,43907,4603,11296,15899
Public Works,Water Distribution Op Tech Oit,55528,67494,44282,4701,8880,13581
Public Works,Water Distribution Op Tech Oit,55528,67494,44013,4606,9990,14596
Public Works,Water Distribution Op Tech Oit,55528,67494,38322,4063,7966,12029
Public Works,Water Distribution Opr I,51447,62534,63878,4857,14912,19769
Public Works,Water Distribution Opr I,51447,62534,63878,4857,10073,14930
Public Works,Water Distribution Opr I,51447,62534,63878,7444,9862,17306
Public Works,Water Distribution Project Coordinator,76329,92778,98889,9137,12867,22004
Public Works,Water Distribution Project Coordinator,76329,92778,99649,6557,9862,16419
Public Works,Water Distribution Supervisor,105684,128460,169918,10074,16826,26900
Public Works,Water Distribution Supervisor,105684,128460,139757,9635,12849,22484
Public Works,Water Distribution Supt,123679,150334,138127,10152,16347,26499
Public Works,Water Quality Superintendent,123679,150334,132163,9303,16826,26129
Public Works,Water Resources Manager,162228,197190,209114,15504,16610,32114
Public Works,Water Resources Specialist,75677,91985,63222,6959,270,7229
Public Works,Water Resources Specialist,75677,91985,76245,5774,11220,16994
Public Works,Water Resources Specialist,75677,91985,92805,10822,12867,23689
Public Works,Water Resources Technician,59269,72041,6283,715,0,715
Public Works,Water Resources Technician,59269,72041,5552,0,0,62
Public Works,Water Resources Technician,59269,72041,5040,0,0,63
Public Works,Water Resources Technician,59269,72041,44564,0,0,575
Public Works,Water Resources Technician,59269,72041,11391,0,0,148
Public Works,Water Services Manager,141084,171488,179474,13483,19560,33043
Public Works,Water System Manager,141084,171488,186007,12723,0,12723
Public Works,Water Treatment Chief Operator,91899,111704,114580,7915,14533,22448
Public Works,Water Treatment Plant Opr III,79944,97172,85748,9771,13588,23359
Public Works,Water Treatment Plant Opr III,79944,97172,89292,9473,12867,22340
Public Works,Water Treatment Plant Opr III,79944,97172,82528,8678,11946,20624
Public Works,Water Treatment Plant Opr III,79944,97172,94005,7291,14608,21899
Public Works,Water Treatment Plant Opr III,79944,97172,95527,7562,14941,22503
Public Works,Water Treatment Plant Opr III,79944,97172,109383,7536,14641,22177
Public Works,Water Treatment Plant Opr III,79944,97172,99297,7121,9008,16129
Public Works,Water Treatment Plant Opr III,79944,97172,101849,10963,14941,25904
Public Works,Water Treatment Plant Opr III,79944,97172,22875,1434,1345,2779
Public Works,Water Treatment Superintendent,123679,150334,164192,11908,16512,28420
Public Works,Water Treatment Superintendent,123679,150334,6597,0,0,0
Public Works,Water Treatment Supervisor,105684,128460,134763,9613,12071,21684
Public Works,Water Ww Maintenance Planner Scheduler,83489,101481,87649,10165,9862,20027
Public Works,Water Ww Maintenance Planner Scheduler,83489,101481,105291,7867,14941,22808
Public Works,Water Ww Maintenance Planner Scheduler,83489,101481,95254,7206,12867,20073
Public Works,Water Ww Maintenance Planner Scheduler,83489,101481,98492,11365,12484,23849
Public Works,Water Ww Maintenance Planner Scheduler,83489,101481,75442,8799,11522,20321
Public Works,Welder Fabricator,59654,72510,65419,7627,13077,20704
Public Works,Welder Fabricator,59654,72510,70226,5316,12936,18252
Public Works,Ww Collection System Lead Opr,66373,80676,92078,6446,14941,21387
Public Works,Ww Collection System Opr I,49949,60713,59917,3986,15036,19022
Public Works,Ww Collection System Opr I,49949,60713,3959,449,0,449
Public Works,Ww Collection System Opr I,49949,60713,47299,0,0,610
Public Works,Ww Collection System Opr I,49949,60713,44097,5008,9332,14340
Public Works,Ww Collection System Opr I,49949,60713,18429,0,0,238
Public Works,Ww Collection System Opr II,54914,66748,80161,5183,12184,17367
Public Works,Ww Collection System Opr II,54914,66748,35248,3287,8211,11498
Public Works,Ww Collection System Opr II,54914,66748,64174,5046,14941,19987
Public Works,Ww Collection System Opr II,54914,66748,66499,6509,12247,18756
Public Works,Ww Collection System Opr II,54914,66748,52916,4768,8935,13703
Public Works,Ww Collection System Opr II,54914,66748,33312,3720,8367,12087
Public Works,Ww Collection System Project Coordinator,76329,92778,75924,7396,12247,19643
Public Works,Ww Collection System Project Coordinator,76329,92778,94808,7196,12840,20036
Public Works,Ww Collection System Project Coordinator,76329,92778,80383,6065,14941,21006
Public Works,Ww Collection System Supervisor,97424,118420,137137,8788,506,9294
Public Works,Ww Collection System Supt,123679,150334,164633,11238,1364,12602
Public Works,Ww Compliance Specialist,64033,77833,81109,6003,0,6003
Public Works,Ww System Manager,141084,171488,162269,12182,19560,31742
Public Works,Ww Treatment Plant Chief Opr,90216,109658,119042,8160,12867,21027
Public Works,Ww Treatment Plant Opr III,74059,90020,84703,9761,8335,18096
Public Works,Ww Treatment Plant Opr III,74059,90020,83480,9651,12867,22518
Public Works,Ww Treatment Plant Opr III,74059,90020,74415,8616,11946,20562
Public Works,Ww Treatment Plant Opr III,74059,90020,24292,3229,6498,9727
Public Works,Ww Treatment Plant Opr III,74059,90020,94301,7139,12867,20006
Public Works,Ww Treatment Plant Opr III,74059,90020,95068,7193,12428,19621
Public Works,Ww Treatment Plant Opr III,74059,90020,96184,7181,7711,14892
Public Works,Ww Treatment Plant Opr III,74059,90020,97097,7036,14941,21977
Public Works,Ww Treatment Plant Opr III,74059,90020,94859,7172,13143,20315
Public Works,Ww Treatment Plant Opr III,74059,90020,94690,7166,8335,15501
Public Works,Ww Treatment Plant Opr III,74059,90020,100031,10715,14925,25640
Public Works,Ww Treatment Plant Opr III,74059,90020,92295,10513,12867,23380
Public Works,Ww Treatment Plant Opr III,74059,90020,70803,8225,12178,20403
Public Works,Ww Treatment Superintendent,123679,150334,178680,11908,6446,18354
Public Works,Ww Treatment Supervisor,103748,126107,133489,9497,14767,24264
Public Works,Zlot Operator IV,27622,27622,337,0,0,4
Public Works,Zlot Operator IV,27622,27622,8854,0,0,108
Public Works,Zlot Operator IV,27622,27622,4495,0,0,52
Public Works,Zlot Operator IV,27622,27622,3567,0,0,44
Public Works,Zlot Operator IV,27622,27622,7539,0,0,94
Public Works,Zlot Operator IV,27622,27622,2632,0,0,34
Public Works,Zlot Operator IV,27622,27622,844,0,0,10
Public Works,Zlot Operator IV,27622,27622,4662,0,0,56
Public Works,Zlot Operator IV,27622,27622,6581,0,0,79
Public Works,Zlot Operator IV,27622,27622,378,0,0,5
Public Works,Zlot Operator IV,27622,27622,11738,0,0,149
Public Works,Zlot Operator IV,27622,27622,2990,0,0,34
Public Works,Zlot Operator IV,27622,27622,11508,0,0,138
Public Works,Zlot Operator IV,27622,27622,2966,0,0,35
Public Works,Zlot Operator IV,27622,27622,8417,0,0,104
Public Works,Zlot Operator IV,27622,27622,7851,0,0,100
Sustainability And Resilience,Administrative Specialist,47118,57271,53148,6190,6254,12444
Sustainability And Resilience,Code Enforcement Officer,64513,78415,59410,4498,9404,13902
Sustainability And Resilience,Energy And Climate Program Manager,109475,133067,124274,9235,15631,24866
Sustainability And Resilience,Energy And Climate Specialist,76818,93372,41827,1478,0,1478
Sustainability And Resilience,Environmental Services Manager,109475,133067,147119,16102,12017,28119
Sustainability And Resilience,Environmental Services Spec I,76818,93372,87102,10164,11946,22110
Sustainability And Resilience,Environmental Services Spec II,84875,103166,101813,11432,2406,13838
Sustainability And Resilience,Environmental Services Spec II,84875,103166,92392,10770,12867,23637
Sustainability And Resilience,Environmental Services Supervisor,94116,114399,108741,8234,15822,24056
Sustainability And Resilience,Management Intern IV,31304,31304,452,0,0,6
Sustainability And Resilience,Recycling Educator,59269,72041,71728,8259,11927,20186
Sustainability And Resilience,Recycling Educator,59269,72041,72423,5476,15036,20512
Waterfront,Accounting Assistant,53642,65202,68948,8036,12867,20903
Waterfront,Administrative Analyst I,76818,93372,97882,7288,15036,22324
Waterfront,Administrative Assistant-Conf,62924,76484,73447,8226,12867,21093
Waterfront,Administrative Specialist,47118,57271,45449,5218,9120,14338
Waterfront,Administrative Specialist,47118,57271,55290,3992,12138,16130
Waterfront,Administrative Specialist,47118,57271,23949,2444,4423,6867
Waterfront,Administrative Supervisor,72979,88706,93218,5976,12570,18546
Waterfront,Assistant Parking Coordinator,49035,59603,64519,6645,760,7405
Waterfront,Billing Supervisor,76711,93243,97333,6248,16826,23074
Waterfront,Engineering Technician II,60644,73713,49967,3572,6884,10456
Waterfront,Harbor Operations Assistant,49035,59603,57867,6222,41,6263
Waterfront,Harbor Operations Manager,113047,137409,147931,25164,16512,41676
Waterfront,Harbor Patrol Crew I,29120,29120,4394,0,0,57
Waterfront,Harbor Patrol Crew II,29619,29619,3556,0,0,46
Waterfront,Harbor Patrol Crew II,29619,29619,1282,0,0,17
Waterfront,Harbor Patrol Crew III,31096,31096,9500,670,0,670
Waterfront,Harbor Patrol Crew III,31096,31096,4465,0,0,51
Waterfront,Harbor Patrol Crew V,34029,34029,16728,0,0,212
Waterfront,Harbor Patrol Crew Vi,35506,35506,5686,0,0,74
Waterfront,Harbor Patrol Crew Vi,35506,35506,4339,0,0,48
Waterfront,Harbor Patrol Officer,84947,103254,109305,21856,13077,34933
Waterfront,Harbor Patrol Officer,84947,103254,102294,20762,13105,33867
Waterfront,Harbor Patrol Officer,84947,103254,122843,24578,14941,39519
Waterfront,Harbor Patrol Officer,84947,103254,121830,24739,14941,39680
Waterfront,Harbor Patrol Officer,84947,103254,129711,24860,14941,39801
Waterfront,Harbor Patrol Officer,84947,103254,122495,24453,14912,39365
Waterfront,Harbor Patrol Officer,84947,103254,126146,23880,0,23880
Waterfront,Harbor Patrol Officer,84947,103254,124290,23826,14539,38365
Waterfront,Harbor Patrol Officer-Entry,76246,92677,2276,0,0,30
Waterfront,Harbor Patrol Supervisor,103628,125961,119258,24895,116,25011
Waterfront,Heavy Equipment Technician,65160,79202,81729,6203,12896,19099
Waterfront,Maintenance Worker I,42011,51064,18644,0,0,237
Waterfront,Office Specialist II,42858,52093,23466,1004,1941,2945
Waterfront,Parking Coordinator,62611,76104,79135,5941,15036,20977
Waterfront,Senior Property Management Spec,77975,94780,98528,7398,15036,22434
Waterfront,Senior Waterfront Maintenance Worker,54723,66516,72309,5495,11946,17441
Waterfront,Senior Waterfront Maintenance Worker,54723,66516,52416,6070,13501,19571
Waterfront,Waterfront Business Manager,109475,133067,158963,10462,172,10634
Waterfront,Waterfront Dir Harbormaster,152150,184940,185608,18278,15934,34212
Waterfront,Waterfront Facilities Aide III,32032,32032,14733,0,0,185
Waterfront,Waterfront Facilities Aide III,32032,32032,15026,0,0,190
Waterfront,Waterfront Facilities Aide III,32032,32032,7069,0,0,0
Waterfront,Waterfront Facilities Aide III,32032,32032,16370,0,0,208
Waterfront,Waterfront Facilities Aide III,32032,32032,14187,0,0,183
Waterfront,Waterfront Facilities Aide III,32032,32032,6225,732,0,732
Waterfront,Waterfront Facilities Aide III,32032,32032,862,0,0,11
Waterfront,Waterfront Facilities Aide IV,33093,33093,14672,0,0,186
Waterfront,Waterfront Facilities Aide IV,33093,33093,12501,0,0,159
Waterfront,Waterfront Facilities Aide IV,33093,33093,15507,0,0,196
Waterfront,Waterfront Facilities Aide IV,33093,33093,11547,0,0,144
Waterfront,Waterfront Facilities Aide IV,33093,33093,20936,0,0,267
Waterfront,Waterfront Facilities Aide IV,33093,33093,6193,0,0,78
Waterfront,Waterfront Facilities Aide IV,33093,33093,4670,0,0,61
Waterfront,Waterfront Facilities Manager,112672,136954,112995,6536,12570,19106
Waterfront,Waterfront Facilities Manager,112672,136954,2203,168,0,168
Waterfront,Waterfront Maintenance Crw Leader,57521,69917,73186,5480,10073,15553
Waterfront,Waterfront Maintenance Crw Leader,57521,69917,72279,5478,12523,18001
Waterfront,Waterfront Maintenance Supt,91377,111070,123174,8097,87,8184
Waterfront,Waterfront Maintenance Supt,91377,111070,103661,7192,11933,19125
Waterfront,Waterfront Maintenance Worker I,45049,54757,57635,6326,1161,7487
Waterfront,Waterfront Maintenance Worker II,49527,60200,62729,7292,12189,19481
Waterfront,Waterfront Maintenance Worker II,49527,60200,57935,6610,13437,20047
Waterfront,Waterfront Maintenance Worker II,49527,60200,57073,6561,10073,16634
Waterfront,Waterfront Maintenance Worker II,49527,60200,43559,3128,8536,11664
Waterfront,Waterfront Maintenance Worker II,49527,60200,62051,4704,14636,19340
Waterfront,Waterfront Maintenance Worker II,49527,60200,53183,6186,12523,18709
Waterfront,Waterfront Maintenance Worker II,49527,60200,52401,6367,13077,19444
Waterfront,Waterfront Maintenance Worker II,49527,60200,55997,6005,6795,12800
Waterfront,Waterfront Maintenance Worker II,49527,60200,52318,5573,0,5573
Waterfront,Waterfront Parking Coordinator Aide II,37814,37814,13446,0,0,159
Waterfront,Waterfront Parking Coordinator Aide II,37814,37814,15131,0,0,192
Waterfront,Waterfront Parking Coordinator Aide II,37814,37814,19100,0,0,243
Waterfront,Waterfront Parking Coordinator Aide II,37814,37814,16956,0,0,211
Waterfront,Waterfront Parking Lead I,32240,32240,12930,0,0,164
Waterfront,Waterfront Parking Lead I,32240,32240,9910,0,0,127
Waterfront,Waterfront Parking Lead I,32240,32240,4797,0,0,62
Waterfront,Waterfront Parking Lead I,32240,32240,7410,0,0,94
Waterfront,Waterfront Parking Lead I,32240,32240,5038,0,0,61
Waterfront,Waterfront Parking Lead I,32240,32240,5631,0,0,73
Waterfront,Waterfront Parking Lead I,32240,32240,3298,0,0,43
Waterfront,Waterfront Parking Lot Opr I,29120,29120,12013,0,0,141
Waterfront,Waterfront Parking Lot Opr I,29120,29120,11162,0,0,141
Waterfront,Waterfront Parking Lot Opr I,29120,29120,8389,0,0,108
Waterfront,Waterfront Parking Lot Opr I,29120,29120,8960,0,0,111
Waterfront,Waterfront Parking Lot Opr I,29120,29120,6601,0,0,86
Waterfront,Waterfront Parking Lot Opr I,29120,29120,6224,0,0,80
Waterfront,Waterfront Parking Lot Opr I,29120,29120,3076,0,0,40
Waterfront,Waterfront Parking Lot Opr I,29120,29120,4341,0,0,56
Waterfront,Waterfront Parking Lot Opr I,29120,29120,501,0,0,7
Waterfront,Waterfront Parking Lot Opr III,31200,31200,14264,0,0,171
Waterfront,Waterfront Parking Lot Opr III,31200,31200,10293,0,0,123
Waterfront,Waterfront Parking Lot Opr III,31200,31200,12804,0,0,165
Waterfront,Waterfront Parking Lot Opr III,31200,31200,11106,0,0,143
Waterfront,Waterfront Parking Lot Opr III,31200,31200,4527,0,0,59
Waterfront,Waterfront Parking Monitor I,31200,31200,3141,0,0,38
Waterfront,Waterfront Parking Monitor I,31200,31200,2731,0,0,36
Waterfront,Waterfront Parking Monitor I,31200,31200,3984,0,0,48
Waterfront,Waterfront Parking Monitor I,31200,31200,8735,0,0,109
Waterfront,Waterfront Parking Monitor I,31200,31200,3892,0,0,51
Waterfront,Waterfront Parking Monitor II,32240,32240,13125,0,0,156
Waterfront,Waterfront Parking Monitor II,32240,32240,15752,0,0,191
Waterfront,Waterfront Parking Supervisor,83431,101412,115078,7958,12651,20609
Waterfront,Waterfront Vessel Technician,49527,60200,62063,7233,12156,19389
Waterfront,Waterfront Worker,29120,29120,4788,0,0,59
Waterfront,Waterfront Worker,29120,29120,4903,0,0,52
Waterfront,Waterfront Worker,29120,29120,2806,0,0,34
Waterfront,Waterfront Worker,29120,29120,2148,0,0,28
Waterfront,Waterfront Worker,29120,29120,2087,0,0,27
Waterfront,Waterfront Worker,29120,29120,4134,0,0,50
Waterfront,Waterfront Worker,29120,29120,1015,0,0,13
Waterfront,Waterfront Worker,29120,29120,2023,0,0,26
Waterfront,Waterfront Worker,29120,29120,3234,0,0,42
Waterfront,Waterfront Worker,29120,29120,33,0,0,0
Waterfront,Waterfront Worker Ix,29203,29203,3693,0,0,45
Waterfront,Waterfront Worker Ix,29203,29203,3513,0,0,43
Waterfront,Waterfront Worker Ix,29203,29203,1334,0,0,17
Waterfront,Waterfront Worker Vi,27622,27622,4672,0,0,56
Waterfront,Waterfront Worker Vi,27622,27622,738,0,0,6
Waterfront,Waterfront Worker Vii,28142,28142,559,0,0,7
Waterfront,Waterfront Worker Viii,28683,28683,139,0,0,2
Waterfront,Waterfront Worker Viii,28683,28683,9597,0,0,117
Waterfront,Waterfront Worker Viii,28683,28683,2895,0,0,38
